source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at,price_num,size_num,bedrooms_num,bathrooms_num,price_per_sqm,bed_bath_ratio
Property24,Sale,,KSh 62 500 000,"PQ2G+QH Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-116923414,2026-02-17T14:49:06.308422,62.0,,,,,
Property24,Sale,,KSh 33 500 000,"PQ2G+QH Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-116923543,2026-02-17T14:49:06.327458,33.0,,,,,
Property24,Sale,,KSh 52 500 000,"PQ4H+8MC Elgeyo Rd, Kilimani, Nairobi",,,,,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-116923402,2026-02-17T14:49:06.358701,52.0,,,,,
Property24,Sale,,KSh 42 500 000,"PQ4H+8MC Elgeyo Rd, Kilimani, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116923388,2026-02-17T14:49:06.389037,42.0,,,,,
Property24,Sale,,KSh 22 500 000,"PQ2G+QH Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116923586,2026-02-17T14:49:06.420833,22.0,,,,,
Property24,Sale,,KSh 13 000 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116931258,2026-02-17T14:49:06.438343,13.0,,,,,
Property24,Sale,,KSh 10 500 000,"Ring Rd Parklands Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116925932,2026-02-17T14:49:06.468572,10.0,,,,,
Property24,Sale,,KSh 13 800 000,"Ring Rd Parklands Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116925928,2026-02-17T14:49:06.487218,13.0,,,,,
Property24,Sale,,KSh 13 000 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-house-for-sale-in-westlands-116931281,2026-02-17T14:49:06.515082,13.0,,,,,
Property24,Sale,,KSh 9 000 000,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116923457,2026-02-17T14:49:06.531992,9.0,,,,,
Property24,Sale,,KSh 19 800 000,"Ring Rd Parklands Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116925924,2026-02-17T14:49:06.551046,19.0,,,,,
Property24,Sale,,KSh 21 800 000,"Ring Rd Parklands Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116925923,2026-02-17T14:49:06.579719,21.0,,,,,
Property24,Sale,,KSh 10 800 000,"Kilimani Estate Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116924938,2026-02-17T14:49:15.164084,10.0,,,,,
Property24,Sale,,KSh 8 200 000,"Kilimani Estate Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116924929,2026-02-17T14:49:15.170509,8.0,,,,,
Property24,Sale,,KSh 7 150 000,"Ring Road Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116919703,2026-02-17T14:49:15.186895,7.0,,,,,
Property24,Sale,,KSh 7 150 000,"Ring Road Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116919692,2026-02-17T14:49:15.203534,7.0,,,,,
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116919667,2026-02-17T14:49:15.216685,5.0,,,,,
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116919655,2026-02-17T14:49:15.225591,5.0,,,,,
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-101755997,2026-02-17T14:49:15.237785,5.0,,,,,
Property24,Sale,,KSh 10 800 000,"Kilimani Estate Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116924945,2026-02-17T14:49:15.249134,10.0,,,,,
Property24,Sale,,KSh 8 200 000,"Kilimani Estate Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116924933,2026-02-17T14:49:15.265683,8.0,,,,,
Property24,Sale,,KSh 17 800 000,"Ring Rd Parklands Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116925926,2026-02-17T14:49:15.273470,17.0,,,,,
Property24,Sale,,KSh 19 500 000,"Jalaram Rd Spring Valley, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926144,2026-02-17T14:49:15.280111,19.0,,,,,
Property24,Sale,,KSh 27 000 000,"Jalaram Rd Spring Valley, Westlands, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116926142,2026-02-17T14:49:15.283390,27.0,,,,,
Property24,Sale,,KSh 4 310 000,"Lower Kabete, Lower Kabete, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-lower-kabete-116926879,2026-02-17T14:49:15.286603,4.0,,,,,
Property24,Sale,,KSh 13 900 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116931194,2026-02-17T14:49:15.293405,13.0,,,,,
Property24,Sale,,KSh 13 900 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116931173,2026-02-17T14:49:15.303466,13.0,,,,,
Property24,Sale,,KSh 20 010 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116915294,2026-02-17T14:49:15.311894,20.0,,,,,
Property24,Sale,,KSh 20 010 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116915276,2026-02-17T14:49:15.319423,20.0,,,,,
Property24,Sale,,KSh 6 500 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116915244,2026-02-17T14:49:15.332184,6.0,,,,,
Property24,Sale,,KSh 6 500 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116915236,2026-02-17T14:49:15.343618,6.0,,,,,
Property24,Sale,,KSh 6 500 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116915215,2026-02-17T14:49:15.347250,6.0,,,,,
Property24,Sale,,KSh 8 100 000,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116918922,2026-02-17T14:49:15.351741,8.0,,,,,
Property24,Sale,,KSh 11 500 000,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116918946,2026-02-17T14:49:22.794760,11.0,,,,,
Property24,Sale,,KSh 8 200 000,"Ring Rd Parklands Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116925933,2026-02-17T14:49:22.798195,8.0,,,,,
Property24,Sale,,KSh 9 000 000,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116918936,2026-02-17T14:49:22.800954,9.0,,,,,
