source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
PigiaMe,Rent,Silver,"KSh 110,000","Roysambu, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/serviced-2-bed-apartment-with-en-suite-in-garden-estate-6540216,2026-02-17T14:56:04.770900
PigiaMe,Rent,Serviced 2 Bed Apartment with En Suite in Garden Estate,"KSh 110,000","Roysambu, Nairobi",2 bed,,,,,2026-02-17T14:56:04.777412
PigiaMe,Rent,Silver,"KSh 170,000","Westlands, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/3-bed-apartment-with-en-suite-in-westlands-area-6603000,2026-02-17T14:56:04.827647
PigiaMe,Rent,3 Bed Apartment with En Suite in Westlands Area,"KSh 170,000","Westlands, Nairobi",3 bed,,,,,2026-02-17T14:56:04.831903
PigiaMe,Rent,Silver,"KSh 85,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/2-bed-apartment-with-en-suite-in-westlands-area-6615748,2026-02-17T14:56:04.888798
PigiaMe,Rent,2 Bed Apartment with En Suite in Westlands Area,"KSh 85,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:04.894439
PigiaMe,Rent,Silver,"KSh 280,000","Kileleshwa, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/3-bed-apartment-with-en-suite-in-kileleshwa-6490031,2026-02-17T14:56:04.950715
PigiaMe,Rent,3 Bed Apartment with En Suite in Kileleshwa,"KSh 280,000","Kileleshwa, Nairobi",3 bed,,,,,2026-02-17T14:56:04.954803
PigiaMe,Rent,Silver,"KSh 150,000","Kilimani, Nairobi",1 bed,,,,https://www.pigiame.co.ke/listings/1-bed-apartment-with-en-suite-in-kilimani-6431227,2026-02-17T14:56:05.005419
PigiaMe,Rent,1 Bed Apartment with En Suite in Kilimani,"KSh 150,000","Kilimani, Nairobi",1 bed,,,,,2026-02-17T14:56:05.014228
PigiaMe,Rent,Kenya,,,,,,,https://www.pigiame.co.ke/apartments-for-rent,2026-02-17T14:56:05.072262
PigiaMe,Rent,Westlands,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=westlands,2026-02-17T14:56:05.074418
PigiaMe,Rent,Kilimani,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=kilimani,2026-02-17T14:56:05.075084
PigiaMe,Rent,Kileleshwa,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=kileleshwa,2026-02-17T14:56:05.075841
PigiaMe,Rent,Lavington,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=lavington,2026-02-17T14:56:05.076326
PigiaMe,Rent,Riverside,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=riverside,2026-02-17T14:56:05.076790
PigiaMe,Rent,Garden Estate,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=garden-estate,2026-02-17T14:56:05.077047
PigiaMe,Rent,Gigiri,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=gigiri,2026-02-17T14:56:05.077392
PigiaMe,Rent,Hurlingham,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=hurlingham,2026-02-17T14:56:05.077759
PigiaMe,Rent,"Imara Daima, AA",,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=imara-daima-aa,2026-02-17T14:56:05.078145
PigiaMe,Rent,Kangemi,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=kangemi,2026-02-17T14:56:05.078382
PigiaMe,Rent,Karen,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=karen,2026-02-17T14:56:05.078670
PigiaMe,Rent,Kiambu Road,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=kiambu-road,2026-02-17T14:56:05.078944
PigiaMe,Rent,"Kileleshwa, Dennis Pritt Road",,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=kileleshwa-dennis-pritt-road,2026-02-17T14:56:05.079796
PigiaMe,Rent,"Kilimani, Riara Road",,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=kilimani-riara-road,2026-02-17T14:56:05.080320
PigiaMe,Rent,Kitisuru,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=kitisuru,2026-02-17T14:56:05.080558
PigiaMe,Rent,Lang'ata,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=langata,2026-02-17T14:56:05.080841
